name,description,site,github,tags,stars
TodoMVC,"Developers these days are spoiled with choice when it comes to selecting an MV* framework for structuring and organizing their JavaScript web apps.\n\nBackbone, Ember, AngularJS, Spine... the list of new and stable solutions continues to grow, but just how do you decide on which to use in a sea of so many options?\n\nTo help solve this problem, we created TodoMVC - a project which offers the same Todo application implemented using MV* concepts in most of the popular JavaScript MV* frameworks of today.",http://todomvc.com,https://github.com/addyosmani/todomvc,,
Awwation,"A web app for creating zooming presentations, similar to Prezi, but in HTML5.\n\nInfo\nAwwation is an app that allows you to create Prezi-like presentations in the browser. Presentations are SVG files that are animated using Javascript.",http://awwation.com,https://github.com/adityab/Awwation,html5,216
Brackets,"An open source code editor for the web, written in JavaScript, HTML and CSS",http://brackets.io,https://github.com/adobe/brackets,,13596
brackets-shell,CEF3-based application shell for Brackets.,http://brackets.io,https://github.com/adobe/brackets-shell,,444
Snap.svg,The JavaScript SVG library for the modern web.,http://snapsvg.io/,https://github.com/adobe-webplatform/Snap.svg,svg,3017
Flambe,"Flambe is an engine and asset pipeline for cross-platform multiplayer games.\n\nWritten in Haxe, games are compiled to Flash and HTML5, with support for mobile devices. Server-side logic compiles to JS and runs on Node.js, for games that require multiplayer.\n\nRendering in Flash uses Stage3D, falling back to copyPixels if hardware accelerated Stage3D isn't available. The HTML5 renderer uses canvas, with plans for WebGL support later on",https://github.com/aduros/flambe/wiki,https://github.com/aduros/flambe,multiplayer,249
Qote2,Qote2 is the second major release of jQuery?s most powerful and versatile client-side templating engine. Version 2 now incorporates a faster and more accurate parsing/conversion part that does away with its predecessor?s shortcomings in escaping quotes and multiline support.,http://aefxx.com,https://github.com/aefxx/jQote2,,251
Tag-it,Tag-it is a simple and configurable tag editing widget with autocomplete support.,http://aehlke.github.com/tag-it/,https://github.com/aehlke/tag-it,"jquery, tag",1204
LocalDB.js (NoSQL),"LocalDB.js is a tool that maps the structure of the databases in objects using the localStorage API, no database drivers are required, just add the library and use it!\n\nUseful for web applications, mobile apps or game engines.",http://agnostic.github.io/LocalDB.js,https://github.com/Agnostic/LocalDB.js,"applications, data, json, localstorage, mongo, mongodb, nosql, persistent, sessionstorage, web",36
MNML.js - Minimalistic MVC framework,MNML is an minimalist MVC framework built in JavaScript yo develop web applications easier and faster.\n\nThe main idea is to have the necessary tools to build our application.\n\nFeatures:\n- Router\n- Databinding\n- Templates\n- Controllers,https://github.com/Agnostic/mnml,https://github.com/Agnostic/mnml,"MVC, angular, controllers, databinding, framework, minimalist, router, static, templates",7
infinity.js,"UITableView for the web: it speeds up scrolling through long lists and keeps your infinite feeds smooth and stable for your users. It is small, battle-tested, and highly performant. The code is hosted on Github, and distributed under the BSD License. Its only dependency is on jQuery.",http://airbnb.github.com/infinity,https://github.com/airbnb/infinity,"jquery, scrolling, ui",1905
Tutti,Tutti - Interactively run Javascript on multiple browsers\nTutti is a web-based interactive Javascript console that allows you to simultaneously execute commands on multiple browsers. This is useful for debugging and discovering browser differences.,http://tutti.tobyho.com,https://github.com/airportyh/tutti,,139
Ace,"ACE is an embeddable code editor written in JavaScript. It matches the features and performance of native editors such as Sublime, Vim and TextMate. It can be easily embedded in any web page and JavaScript application. ACE is maintained as the primary editor for Cloud9 IDE and is the successor of the Mozilla Skywriter (Bespin) project.",http://ace.ajax.org,https://github.com/ajaxorg/ace,,6704
Cloud9,Cloud9 is an open source IDE built with Node.JS on the back-end and JavaScript/HTML5 on the client. It is very actively maintained by about 15 developers in both Amsterdam and San Francisco and is one component of the hosted service at c9.io. The version available here runs on your local system.\n\nCloud9 balances the power of traditional desktop IDEs with the simplicity and elegance of editors like TextMate and Subl,http://c9.io,https://github.com/ajaxorg/cloud9,,4430
Proton,"Proton is a html5 particle engine.It include canvas,dom,webgl,easel and pixel five kinds of renderer.Of course you can customize your own renderer,it is very easy!\nyou can vist site : http://a-jie.github.io/Proton/ or http://www.a-jie.cn/proton/",http://a-jie.github.io/Proton/,https://github.com/a-jie/Proton,"html5, particle, webgl",108
Akihabara,"Akihabara is a set of libraries, tools and presets to create pixelated indie-style 8/16-bit era games in Javascript that runs in your browser without any Flash plugin, making use of a small small small subset of the HTML5 features, that are actually available on many modern browsers.",http://www.kesiev.com/akihabara,https://github.com/Akihabara/akihabara,classic,143
Akshell,"Akshell is a site where you can develop web applications in JavaScript and host them in the cloud. The development is easy and the deployment is instant. You don?t have to buy and administer a server or deal with low-level details; you even don?t have to install anything on your computer.\n\nBut what makes Akshell a ?network? is the environment it provides applications with. In Akshell applications make requests to each other; they interact just like programs in UNIX-like operation systems. This creates the whole new world: a web application is no longer an all-in-one bundle of code and data, but a part of a larger ecosystem where every member has an access to the information collected by others.",http://www.akshell.com/docs/0.2/,https://github.com/akshell/docs,,4
jWysiwyg,jWysiwyg is minimalistic WYSIWYG editor built as jQuery plugin.,http://jwysiwyg.github.com/jwysiwyg,https://github.com/akzhan/jwysiwyg,jquery,156
shake.js,A custom 'shake' event JavaScript plugin for mobile web browsers using device accelerometer.,http://alxgbsn.co.uk/shake.js/,https://github.com/alexgibson/shake.js,,301
Filltr2.js,Insta-hipster-o-matic images in 6.8kb of JavaScript.,http://filtrr.me,https://github.com/alexmic/filtrr,,662
Ico,Ico is a JavaScript graph library that uses Raphael to draw. This means it can draw graphs in multiple browsers (including IE).,http://alexyoung.github.com/ico/,https://github.com/alexyoung/ico,"Rapha‰l, svg",196
AllBinary Platform,"AllBinary Game Development Kit (http://allbinarygames.appspot.com), Freeblisket E-Commerce Solution (http://www.allbinary.com), AllBinary Input Automation, And Everything Else AllBinary. It represents 10 years of development and > 1 million SLOC. The goal of the AllBinary Platform is to create a Self Replicating Robot Army dedicated to building and maintaining Open Source SpaceShips to escape the tyrants of Earth",http://www.allbinary.com,https://github.com/AllBinary/AllBinary-Platform,"2.5d, 2d, 3d",15
Aloha Editor,The world's most advanced browser HTML5 based WYSIWYG editor lets you experience a whole new way of editing. It's faster than existing technologies and offers unprecedented WYSIWYG functionalities.,http://aloha-editor.com,https://github.com/alohaeditor/Aloha-Editor,html5,1577
fullPage.js,"A simple and easy to use plugin to create fullscreen scrolling websites (also known as single page websites). It allows the creation of fullscreen scrolling websites, as well as adding some landscape sliders inside the sections of the site.",http://alvarotrigo.com/fullPage/,https://github.com/alvarotrigo/fullPage.js,,2053
pickadate.js,A lightweight jQuery dateinput picker,http://amsul.ca/pickadate.js,https://github.com/amsul/pickadate.js,"date, input, picker",3440
Steppe,"Steppe is a custom HTML5 canvas 2.5D landscape renderer and compositor. The JavaScript source code for Steppe is unobfuscated and can be used free of charge in your own projects (MIT license).\n\nSteppe, like Fleeting Fantasy, is actively under development so we recommend you wait until it's production-ready before using it for anything serious. That doesn't mean you shouldn't play with it now though; go right ahead!",http://steppe.fleetingfantasy.com/,https://github.com/andrewjbaker/Steppe,2.5d,44
Sugar,"Sugar is a Javascript library that extends native objects with helpful methods. It is designed to be intuitive, unobtrusive, and let you do more with less code.",http://sugarjs.com/,https://github.com/andrewplummer/Sugar,,2035
ICanHaz.js,Simple & powerful client-side templating\nA clean solution for templating with Mustache.js and jQuery or Zepto,http://icanhazjs.com,https://github.com/andyet/ICanHaz.js,,243
AngularJs,"AngularJS lets you write client-side web applications as if you had a smarter browser. It lets use good old HTML (or HAML, Jade and friends!) as your template language and lets you extend HTML?s syntax to express your application?s components clearly and succinctly.\n\nIt automatically synchronizes data from your UI (view) with your JavaScript objects (model) through 2-way data binding. To help you structure your application better and make it easy to test AngularJS teaches the browser how to do dependency injection and inversion of control.\n\nOh yeah and it also helps with server-side communication, taming async callbacks with promises and deferreds; and make client-side navigation and deeplinking with hashbang urls or HTML5 pushState a piece of cake.",http://angularjs.org,https://github.com/angular/angular.js,,18102
Pass*Field,Pass*Field is a javascript that simplifies creation of sophisticated password fields.,http://antelle.github.io/passfield,https://github.com/antelle/passfield/,password,135
whammy,"This is sort of a conceptual reversal (or not, this might just be making the description needlessly confusing) of one of my older projects, Weppy. First, what Weppy did was it added support for WebP in browsers which didn't support it by converting it into a single-frame video. This is instead predicated on the assumption that the browser already has support for WebP (at this point, it means it only works on Chrome since it's the only browser which actually supports WebP), not only decoding WebP but encoding it as well.",http://antimatter15.github.com/whammy/clock.html,https://github.com/antimatter15/whammy,webm,103
Hiro,"Hiro is a small yet powerful testing framework designed with third-party JavaScript applications in mind. It runs each test suite in a separate iframe sandbox, preventing global state leaks and conflicts.",http://hirojs.com/,https://github.com/antonkovalyov/hiro,,100
Anvil.js,"A continuous integration tool for javascript, css and html. Anvil started as a way to build a single javascript module from several source files. Build tools that require a lot of explicit/declarative instructions distract from getting work on the project done. Anvil has been rewritten as a general build system with a plugin architecture. It should be easy to add features or change almost any behavior as needed.",http://anviljs.com,https://github.com/anviljs/anvil.js,,161
Appcelerator Titanium Mobile,"Titanium provides a platform for web developers to build cross-platform, native mobile applications using JavaScript.\n\nCurrently, Titanium supports mobile smartphone operating systems such as Apple iPhone, Google's Android, Tizen and Mobile Web. RIM Blackberry 10 support is currently in development. Other platforms will eventually be supported such as Windows 8.",http://www.appcelerator.com,https://github.com/appcelerator/titanium_mobile,,1597
AmplifyJS,"Request\nStore\nPub/Sub\n\n\nAmplifyJS is a set of components designed to solve common web application problems with a simplistic API. Amplify's goal is to simplify all forms of data handling by providing a unified API for various data sources. Amplify's store component handles persistent client-side storage, using standards like localStorage and sessionStorage, but falling back on non-standard implementations for older browsers. Amplify's request adds some additional features to jQuery's ajax method while abstracting away the underlying data source.",http://amplifyjs.com,https://github.com/appendto/amplify,,1128
jQuery Geo,"jQuery Geo, an open-source geospatial mapping project from AppGeo, provides a streamlined JavaScript API for a large percentage of your online mapping needs. Whether you just want to display a map on a wep page as quickly as possible or you are a more advanced GIS user, jQuery Geo can help!",http://jquerygeo.com,https://github.com/AppGeo/geo,jquery,357
AppJS,AppJS allows you to use HTML 5 APIs to create attractive applications from Word Processors to 3D Games. You are no longer limited to default GUI widgets that plaforms force you to use.,http://appjs.org,https://github.com/appjs/appjs,"css3, html5, nodejs, npm",2798
jCanvaScript,"jCanvaScript is a javascript library that provides you methods to manage with the content of a HTML5 canvas element easily. It runs on any platform (including iPhone, iPad, Android) that supports canvas and JavaScript. To add support for canvas in Internet Explorer you can use ExCanvas.",http://jcscript.com,https://github.com/apsavin/jCanvaScript/,"html5, mobile",108
ActiveJS,"ActiveJS is a JavaScript application framework that provides local and REST based data modeling and pure DOM view construction with back button and history support.\n\nNo external dependencies\nDoes not modify built in objects\nExports only 5 globals\nFramework agnostic, designed to be used with Prototype, jQuery, etc",http://activejs.org/,https://github.com/aptana/activejs,,237
CanvasScript3,Javascript sprite library for HTML5 Canvas similar to FLASH/ActionScript3.,http://www.arahaya.com/canvasscript3/,https://github.com/arahaya/CanvasScript3,,22
Phantomjs,"PhantomJS is a headless WebKit scriptable with a JavaScript API. It has fast and native support for various web standards: DOM handling, CSS selector, JSON, Canvas, and SVG.",http://phantomjs.org/,https://github.com/ariya/phantomjs,"screenshot, testing",8861
FullCalendar,"FullCalendar is a jQuery plugin that provides a full-sized, drag & drop calendar like the one below. It uses AJAX to fetch events on-the-fly for each month and is easily configured to use your own feed format (an extension is provided for Google Calendar). It is visually customizable and exposes hooks for user-triggered events (like clicking or dragging an event). It is open source and dual licensed under the MIT or GPL Version 2 licenses.",http://arshaw.com/fullcalendar/,https://github.com/arshaw/fullcalendar,"calendar, jquery",2581
XDate,"XDate is a thin wrapper around JavaScript's native Date object that provides enhanced functionality for parsing, formatting, and manipulating dates. It implements the same methods as the native Date, so it should seem very familiar.",http://arshaw.com/xdate/,https://github.com/arshaw/xdate,,492
prettyCheckable,This plugin replaces the default checkboxes and radio inputs for better looking ones. Easily customizable with editable PSD.,http://arthurgouveia.com/prettyCheckable/,https://github.com/arthurgouveia/prettyCheckable,"checkbox, javascript, jquery, radio",282
Fotorama,"A simple, stunning, powerful jQuery gallery",http://fotorama.io,https://github.com/artpolikarpov/fotorama,"css3, fullscreen, html5, responsive, thumbs, trasitions",329
Agility.js,"Agility is an MVC library for client-side Javascript that lets you write maintainable code without compromising on development speed. It's write less, do more with maintainability.",http://agilityjs.com,https://github.com/arturadib/agility,,536
Zombie.js,"zombie.js(1) -- Insanely fast, headless full-stack testing using Node.js\nIf you're going to write an insanely fast, headless browser, how can you not call it Zombie? Zombie it is.\n\nZombie.js is a lightweight framework for testing client-side JavaScript code in a simulated environment. No browser required.",http://zombie.labnotes.org/,https://github.com/assaf/zombie/,"headless, nodejs",1963
Helios Kernel,Module loader and dependency manager for javascript implementing the classic include-style syntax. Module format is cross-compatible between web environment and Node.js.,http://asvd.github.io/helios-kernel/,https://github.com/asvd/helios-kernel,,23
MaskJS,"Template-HMVC Engine. Fast and Beautiful. Features: Fast, Dzen Coding, Custom Tag Handlers. Custom Model Data Handlers. Dualbindings. Browser and Node.js",http://atmajs.com/mask,https://github.com/atma/MaskJS,,
ClassJS,"proper inheritance\noverrides\nvalidations\nstatic/private properties\nserialize/deserialize (RESTfull, localStorage, MongoDB)\ncollections\nBrowser and Node.js",http://atmajs.com/class,https://github.com/atmajs/ClassJS,,2
Aurora.js,"Aurora.js is a framework that makes writing audio decoders in JavaScript easier. It handles common tasks for you such as dealing with binary data, and the decoding pipeline from source to demuxer to decoder, and finally to the audio hardware itself by abstracting browser audio APIs. Aurora contains two high level APIs for inspecting and playing back decoded audio, and it is easily extendible to support more sources, demuxers, decoders, and audio devices.",http://audiocogs.org/codecs,https://github.com/audiocogs/aurora.js,,365
flac.js,"The Free Lossless Audio Codec (FLAC) is a widely used lossless audio codec, which means that the audio is compressed without any loss of quality. A decoded FLAC stream is bit-for-bit identical to the original uncompressed audio file.\n\nThe JavaScript decoder was ported from the FFMpeg project and the demuxer is based on the original FLAC documentation. flac.js uses the Aurora audio framework by ofmlabs to facilitate decoding and playback.",http://flac.sourceforge.net/format.html,https://github.com/audiocogs/flac.js,,292
jsmad,"jsmad is a pure javascript MP3 decoder, based on libmad, with an ID3 decoder written from scratch.\n\nFor example, jsmad allows Firefox 4.0+ to play MP3s without any Flash. Faster loading times. Fewer security holes. No 64-bit headaches on Linux. Fewer memory leaks.\n\njsmad opens up a whole world of realtime audio applications implemented in javascript: dj-mixers, samplers, sequencers, all these applications benefit from using mp3s as audio source.",http://jsmad.org,https://github.com/audiocogs/jsmad,,115
MP3.js,"MP3.js is a refactored version of JSMad designed to run in the Aurora.js audio framework. It supports all of the features of JSMad and is released under the same GPLv2 license. The code was reorganized a bit, and now uses all typed arrays for decoding at better performance.",http://labs.official.fm/codecs/mp3,https://github.com/audiocogs/mp3.js,,63
JSEpub,Reads and handles the EPUB e-book format.,http://ditrw.com/booktorious/,https://github.com/augustl/js-epub,,216
abaaso,"abaaso is an enterprise class, light weight, RESTful JavaScript framework that provides a set of classes and object prototyping to ease the creation and maintenance of pure JavaScript applications.",http://abaaso.com,https://github.com/avoidwork/abaaso,"GUI, HATEOAS, client, documents, proxy, reactive, rest, server",58
SharepointPlus,"SharepointPlus ($SP) is a JavaScript library which offers some extended features for Microsoft SharePoint entirely on client side (requires no server install). $SP will simplify your interactions with the Sharepoint Web Services and will help you to deal with the List Forms.\n\nOther JavaScript library like this one are often complex, with few or no example. With SharepointPlus it's easy and you'll find examples for each method.",http://aymkdn.github.io/SharepointPlus/,https://github.com/Aymkdn/SharepointPlus,sharepoint,10
jodoc-js,A nodejs port of joDoc\n\nFeatures\nAutomatic conversion of markdown commented javascript code\nSelf-linking documenatation\nA quick and easy table of contents system\nJSON configuration coming soon __Note: not soon enough it seems __,http://joapp.com/#joDoc,https://github.com/azakus/jodoc-js,,27
indev,Minimalistic replacement for Makefiles.,https://github.com/azer/indev,https://github.com/azer/indev,,
Overscroll,"Overscroll is a jQuery plug-in that mimics the iphone/ipad scrolling experience in a browser. The plug-in adds a draggable drift to overflowed DOM elements as well as a set of fading 'thumbs'. OverScroll runs best on Safari 5+, Chrome 5+, and Firefox 3+ but should run just fine on most modern browsers. Below you can find an interactive demo of overscroll in action, as well as instructions on how to integrate it into your web application.",http://azoffdesign.com/overscroll,https://github.com/azoff/Overscroll,,352
tacion.js,A jQuery Mobile framework for creating real-time presentations.,http://azoff.github.com/tacion.js,https://github.com/azoff/tacion.js,,64
jquery.notification,Webkit Notification API wrapper,http://azproduction.ru/jquery.notification/,https://github.com/azproduction/jquery.notification,"api, jquery, notification, webkit",94
LMD,"LMD - JavaScript Module-Assembler for building better web applications\n\nWhy LMD?\n\nYou can write your modules in any style: LMD, AMD, Node.js, your_own. LMD package is fully-zero-isolated from globals. Config inheritance: Easy to setup multiply builds. Flexible source: from 500bytes. Integrated code-coverage, source analytics tools, transparent localStorage cache.",http://lmdjs.org/,https://github.com/azproduction/lmd,"builder, commonjs, compiler, optimizer",411
BabylonJS,Babylon.js: a complete JavaScript framework for building 3D games with HTML 5 and WebGL,http://www.babylonjs.com,https://github.com/BabylonJS/Babylon.js,webgl,722
MixItUp,"MixItUp is a light-weight but powerful jQuery plugin that provides beautiful animated filtering and sorting of categorized and ordered content. It plays nice with your existing HTML and CSS, making it a great choice for fluid, responsive layouts. It's perfect for portfolios, galleries, blogs, or any categorized or ordered content!",http://mixitup.io,https://github.com/barrel/mixitup,jquery,690
impress.js,It's a presentation framework based on the power of CSS3 transforms and transitions in modern browsers and inspired by the idea behind prezi.com,http://bartaz.github.com/impress.js,https://github.com/bartaz/impress.js,css3,18665
ECT,Fastest JavaScript template engine with embedded CoffeeScript syntax. ECT can runs on server-side with Node.JS and client-side with all modern browsers.,http://ectjs.com,https://github.com/baryshev/ect,,253
Firmin,"Firmin is a JavaScript animation library that uses CSS transforms and transitions to create smooth, hardware-accelerated animations.",http://extralogical.net/projects/firmin,https://github.com/beastaugh/firmin,,190
libcanvas,"HTML5 has all of the functions necessary to draw whatever you want, but sometimes the API leaves a little to be desired. This module attempts to add convenience methods to the HTML5 API.",http://beatgammit.github.com/libcanvas,https://github.com/beatgammit/libcanvas,npm,4
colorjoe,"Unlike many other colorpickers out there, colorjoe is truly scaleable. It is based on CSS and does not depend on external images. As a result, you can tweak its size to fit your purposes. Supports touch and AMD module definition as well.",http://bebraw.github.io/colorjoe/,https://github.com/bebraw/colorjoe,colorpicker,354
colorjs,"colorjs provides simple API that may be used to create colors (RGBA, HSVA, HSLA) and perform various color related operations (conversions and such).",http://bebraw.github.com/colorjs/,https://github.com/bebraw/colorjs,,19
yabox.js,Yet another lightbox clone. Very light one this time.,http://bebraw.github.com/yabox.js/,https://github.com/bebraw/yabox.js,,5
jaylist,a simple wrapper for javascript's built-in hash storage. Much of the functionality was inspired by Python's dictionary,http://benbscholz.github.com/jaylist/,https://github.com/benbscholz/jaylist,,25
EntityJS,An HTML5 javascript game engine utlizing the entity-component design. Write highly flexible code in a powerful javascript framework.,http://entityjs.com,https://github.com/bendangelo/entityjs,2d,183
Touche.js,Effortlessly re-map click events to touch events on touchscreen UIs.,http://benhowdle.im/touche/,https://github.com/benhowdle89/touche,,413
Continuum,Continuum is a next-generation JavaScript (ES6) Virtual Machine written in last generation JavaScript (ES3). It assembles bytecode from sourcecode and executes it an ES6 runtime environment.,http://benvie.github.com/continuum,https://github.com/Benvie/continuum,"bytecode, compiler, ecmascript, es6, runtime, virtual-machine, vm",495
Create.js,"Create.js is a comprehensive web editing interface for Content Management Systems. It is designed to provide a modern, fully browser-based HTML5 environment for managing content. Create can be adapted to work on almost any content management backend.",http://createjs.org,https://github.com/bergie/create,,1832
Hallo,"Hallo is the simplest web editor imaginable. Instead of cluttered forms or toolbars, you edit your web content as it is. Just you, your web design, and your content.",http://hallojs.org/,https://github.com/bergie/hallo,,1684
NBL.js 2.0,"NBL.js is a tiny script that will make your HTML pages load faster by loading all your JavaScript files asynchronously (in parallel) with the rest of your page. Normally if you include two or three scripts in your page, the browser will wait for them to be executed before your page is shown.",http://berklee.github.com/nbl/,https://github.com/berklee/nbl/,,86
Lo-Dash,"A drop-in replacement for Underscore.js delivering performance, bug fixes, and additional features.",http://lodash.com/,https://github.com/bestiejs/lodash,non-commerce,
DocPad,"Empower your website frontends with layouts, meta-data, pre-processors (markdown, jade, coffeescript, etc.), partials, skeletons, file watching, querying, and an amazing plugin system. DocPad will streamline your web development process allowing you to craft full-featured websites quicker than ever before.",http://docpad.org/,https://github.com/bevry/docpad,,1803
The Render Engine,"The Render Engine is a cross-browser, open source game engine written entirely in Javascript. Designed from the ground up, it is flexible and full of great features. The engine runs on a wide variety of browsers including Firefox, Chrome, Safari, Opera, and IE.",http://bfattori.github.com/TheRenderEngine,https://github.com/bfattori/TheRenderEngine,2d,136
DrawWindow,A Javascript implementation for canvas.drawWindow.,http://bgrins.github.com/DrawWindow/,https://github.com/bgrins/DrawWindow,"canvas, html",25
Spectrum Colorpicker,"Colorpicker with no extra images.  Mobile and Internet Explorer support.  Can be customized, or used as a polyfill for  and acts as a polyfill",http://bgrins.github.io/spectrum/,https://github.com/bgrins/spectrum,"color, jquery",452
TinyColor,"Fast, small color manipulation.  Extremely flexible string parsing allows string input of colors in hex, names, rgb, hsl, and hsv - see the demo page to try out the parsing.  Provides color conversion and color scheme utilities.",http://bgrins.github.com/TinyColor/,https://github.com/bgrins/TinyColor,color,167
Mozart,"Mozart isn't a library that just handles rendering, a microframework that needs other libraries to boot, or a set of coupled tools. Mozart is an all-singing, all-dancing platform designed with one purpose in mind: To help you develop fast, rich and beautiful applications in minutes, not after you've got tens of disparate components to play nice together. Having said that, Mozart is modular - its default configuration contains all you will need to get going immediately, but if you want to integrate your favourite tool or framework you'll find it as friendly as it is complete.",http://mozart.io,https://github.com/bigcommerce/mozart,,114
BinaryJS,"BinaryJS is a lightweight framework that utilizes websockets to send, stream, and pipe binary data bidirectionally between browser javascript and Node.js.",http://binaryjs.com,https://github.com/binaryjs/binaryjs,,1059
Frame.js,"Frame.js is a flow control library and script loader for Javascript applications.\n\nFrame includes and acts as an interface for the LABjs library loader. So you can use Frame to load script libraries from both local and remote servers, cross-browser, with no cross-site scripting restrictions.\n\nWhile many function sequencers exist, Frame.js focuses on application-level synchronous function management, includes a library loader to mix-and-match between remote scripts, local scripts, and functions, and provides a basic set of debugging and unit testing tools.\n\nFrame is like require.js, but designed for the frontend, with debugging tools, and it clocks in at just under 11k (compared to require.js's minified 25k).",http://framejs.tumblr.com,https://github.com/bishopZ/Frame.js,"application, async, boot, job, library, loader, loading, manager",59
facyBox,"A jQuery-based, Facebook/Fancybox-style lightbox which can display images, divs, or entire remote pages.\n\nIt's simple to use and easy on the eyes. Clone it from github, view the examples below, then start enjoying the shadows.",http://bitbonsai.com/facybox,https://github.com/bitbonsai/facyBox/,jquery,129
CanJS,"JavaScript framework that makes building rich web applications easy. It strikes a balance between ease of use, safety, speed, flexibility.",http://canjs.com,https://github.com/bitovi/canjs,"dojo, jquery, mootools, yui, zepto",815
Gitgraph,Dirt simple GitHub participation graphs using canvas elements.,http://bitpshr.info/gitgraph,https://github.com/bitpshr/Gitgraph,"api, canvas, github",62
Gitview,widget to list GitHub repos and participation,http://bitpshr.info/gitview,https://github.com/bitpshr/Gitview,"api, canvas, github",
Holler.js,"real-time, in-app notifications via the command line",http://bitpshr.info/holler,https://github.com/bitpshr/holler,"javascript, nodejs, websockets",294
Btapp.js,"Btapp.js provides a Backbone based library that interfaces with underlying BitTorrent products, such as BitTorrent, uTorrent, or the gui-less Torque product. Allows for easy torrent downloading via your web app.",http://documentup.com/bittorrenttorque/btapp,https://github.com/bittorrenttorque/btapp,"BitTorrent, backbone",575
keys.js,Easy keybindings for browser applications!,http://bitwalker.github.io/keys.js/,https://github.com/bitwalker/keys.js,,346
jVectorMap,"jVectorMap is a jQuery plugin employed to show vector maps and visualize data on HTML pages.\nIt uses SVG in all modern browsers like Firefox 3 or 4, Safari, Chrome, Opera, IE9, while legacy support for older versions of IE from 6 to 8 is provided with VML.",http://jvectormap.com,https://github.com/bjornd/jvectormap,jquery,472
AliceJS,"AliceJS - (A Lightweight Independent CSS Engine) is a micro JavaScript library focused on using hardware-accelerated capabilities (in particular CSS3 features) in modern browsers for generating high-quality, high-end visual effects.",http://blackberry.github.com/Alice/,https://github.com/blackberry/Alice,css3,420
Turn.js,"Turn.js is a JavaScript library that will make your content look like a real book or magazine using all the advantages of HTML5. The web is getting beautiful with new user interfaces based in HTML5; turn.js is the best fit for a magazine, book or catalog based in HTML5.",http://www.turnjs.com,https://github.com/blasten/turn.js,,3091
JavaScript-Templates,"< 1KB lightweight, fast & powerful JavaScript templating engine with zero dependencies. Compatible with server-side environments like node.js, module loaders like RequireJS and all web browsers.",http://blueimp.github.io/JavaScript-Templates/,https://github.com/blueimp/JavaScript-Templates,"Template, javascript, lightweight, templating",385
jQuery File Upload,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine, PHP, Python, Ruby on Rails, Java,ASP.NET etc.) that supports standard HTML form file uploads.",http://blueimp.github.io/jQuery-File-Upload/,https://github.com/blueimp/jQuery-File-Upload,"api, file, files, jquery, upload, uploads",14348
Durandal,"Durandal is small JavaScript framework designed to make building Single Page Applications (SPAs) simple and elegant. We didn't try to re-invent the wheel. Durandal is built on libs you know and love like jQuery, Knockout and RequireJS. There's little to learn and building apps feels comfortable and familiar.",http://www.durandaljs.com,https://github.com/BlueSpire/Durandal,MVC,844
